COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
SUMMONER 2,1,0,0,1,SUMMONER,,THQ,VOLITION,RPG,RPG,2002-09-01,2002,9,T,NO,77,47.00,7.715789,7.715789,0,10,1,17,62574,2.3606035,0.864015488,33.00,82178,2.732131
SUMMONER:GODDESS RBRN,1,1,0,0,SUMMONER,,THQ,CRANKY PANTS GAMES,RPG,RPG,2003-02-01,2003,2,T,NO,71.80000305,27.00,0,0,0,6,0,5,22116,0.584249313,0.835835926,23.00,30427,0.699
SUNNY GARCIA SURFING,1,0,0,1,,,UBISOFT,KROME STUDIOS,SPORTS,EXTREME SPORTS,2001-10-01,2001,10,E,NO,62.20000076,51.00,0,0,0,10,0,3,9814,0.459418844,0.884966481,42.00,12283,0.519137
SUPER BUST A MOVE,1,0,0,1,BUST A MOVE,,ACCLAIM,TAITO,FAMILY,PUZZLE GAMES,2000-11-01,2000,11,E,NO,70.40000153,44.00,0,0,0,1,0,0,64478,1.847127875,0.575759993,24.00,134600,3.208156
SUPER BUST A MOVE 2,1,0,0,1,BUST A MOVE,,UBISOFT,TAITO,FAMILY,PUZZLE GAMES,2002-09-01,2002,9,E,NO,73.90000153,21.00,1.847127875,1.847127875,0,2,1,3,64857,1.29886075,0.822221965,19.00,81501,1.579696
SUPER MARIO SUNSHINE,1,1,0,0,MARIO BROTHERS,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,NINTENDO COMPANY,ACTION,PLATFORM/SCROLLING CHARACTER,2002-08-01,2002,8,E,NO,91.30000305,49.00,40.316972,40.316972,1,16,1,0,1251804,58.142608,0.741605628,37.00,2100335,78.40098
SUPER MONKEY BALL,1,1,0,0,SUPER MONKEY BALL,,SEGA OF AMERICA,AMUSEMENT VISION,FAMILY,PARTY GAMES,2001-11-01,2001,11,E,NO,88.59999847,50.00,0,0,0,0,0,0,260108,11.459204,0.61872079,30.00,621152,18.5208
SUPER MONKEY BALL 2,1,1,0,0,SUPER MONKEY BALL,,SEGA OF AMERICA,AMUSEMENT VISION,FAMILY,PARTY GAMES,2002-08-01,2002,8,E,NO,86.09999847,49.00,11.459204,11.459204,0,2,1,1,271718,11.848285,0.60362969,31.00,631052,19.6284
SUPER MONKEY BALL BND,1,1,0,0,SUPER MONKEY BALL,,SEGA OF AMERICA,AMUSEMENT VISION,FAMILY,PARTY GAMES,2004-09-01,2004,9,E,NO,,27.00,11.848285,23.307488,0,2,2,8,17641,0.477296,0.421370822,27.00,42290,1.132722
SUPER SMASH BRO MELEE,1,1,0,0,,SUPER MARIO BROTHERS,NINTENDO OF AMERICA,HAL LABORATORY,FIGHTING,FIGHT/HEAD TO HEAD,2001-12-01,2001,12,T,NO,90.09999847,50.00,0,0,0,0,0,0,1339825,66.817568,0.5889335,39.00,2909599,113.4552
SUPER TRUCKS RACING,1,0,0,1,,,XS GAMES,JESTER INTERACTIVE,RACING,SPORTS ORIENTED RACING,2003-10-01,2003,10,E,NO,63.5,12.00,0,0,0,6,0,25,198578,2.2884725,0.802548723,11.00,253934,2.851506
